Species,N,Maximum abundance within station (ind/m3), average living depth (m),ALD Standard error (95th CI) (m),Average vertical dispersion (m),VD Standard error (95th CI) (m),Depth habitat,Depth habitat variability
Globigerinita glutinata,42,75.9,78.62,13.63,57.79,11.42,Surface-subsurface,Variable
Globigerinoides ruber white,40,21.31,57.84,6,35.04,9.05,Surface,Variable
Globigerina bulloides,40,23.08,102.35,21.14,67.38,10.93,Surface-subsurface,Variable
Trilobatus sacculifer,39,68.54,60.71,16.1,35.45,10.18,Surface,Variable
Globigerinella siphonifera,38,1.52,83.78,14.41,42.29,11.91,Surface-subsurface,Variable
Globorotalia scitula,37,13.04,224.28,37.58,85.3,19.16,Subsurface,Variable
Turborotalita quinqueloba,34,14.46,143.9,39.14,69.72,20.53,Subsurface,Variable
Globoturborotalita rubescens,34,52.73,107.41,31.19,79.85,27.61,Surface-subsurface,Variable
Globorotalia inflata,33,2.44,104.35,19.9,61.52,10.73,Surface-subsurface,Variable
Globorotalia. truncatulinoides,32,19.7,96.36,22.42,64.67,11.48,Surface-subsurface,Variable
Globorotalia hirsuta,27,6.4,167.24,58.25,79.6,27.08,Subsurface,Variable
Globigerinoides ruber pink,27,5.84,39.51,5.24,24.09,6.6,Surface,Stable
Globigerinella calida,27,9.48,73.33,10.55,47.6,11,Surface-subsurface,Variable
Turborotalita humilis,25,203.8,91.98,29.55,56.83,23.81,Surface-subsurface,Variable
Orbulina universa,24,1.7,79,13.75,40.39,13.09,Surface-subsurface,Stable
Neogloboquadrina incompta,24,70.04,80.93,16.05,50.32,11.57,Surface-subsurface,Variable
Hastigerina pelagica,23,0.28,202.45,45.48,112.5,24.57,Subsurface,Stable
Globigerina falconensis,21,26.94,92.92,27.01,57.67,21.46,Surface-subsurface,Variable
Tenuitella parkerae,19,0.8,137.28,37.05,89.15,22.19,Subsurface,Variable
Neogloboquadrina pachyderma,18,1.37,113.35,50.88,44.42,23.82,Surface-subsurface,
Globigerinoides tenellus,16,0.32,52.16,10.9,35.46,7.25,Surface,Variable
Berggrenia pumillio,13,6.87,137.61,66.07,77.57,39.11,Subsurface,
Pulleniatina obliquiloculata,11,29.87,44.51,13.16,30.99,8.37,Surface,
Neogloboquadrina dutertrei,11,6,62.69,22.06,22.78,6.4,Surface,
Tenuitella fleisheri,9,1.01,81.14,24.8,44.6,23.76,Surface-subsurface,
Globorotalia crassaformis,9,0.6,48.33,14.85,15.52,13.35,Surface,
Tenuitella iota,7,3.96,276.81,32.46,49.68,20.78,Subsurface,Stable
Globigerinita minuta,6,0.46,14.71,0,9.23,0,,
Dentigloborotalia anfracta,5,5.44,12.5,0,0,0,,
Turborotalita clarkei,4,1.44,217.98,117.32,70.27,2.43,Subsurface,
Hastigerinella digitata,2,0.08,,,,,,
Globorotalia menardii,2,0.02,,,,,,
Globigerinita uvula,1,0.08,,,,,,
Beella digitata,1,0.11,,,,,,